              | 
Vinkovićeva   |
Igor          |
Izzy          |
Naselje       |
Ostalo        |

oznaka:
H - hrana
R - režije
O - ostalo
NT - neplanirani troškovi
OS - online shopping (u $)
TOT - total
P - Pointer


datum    | +/- |iznos(kn)| oznaka| info
18-01-05 |  -  |    5,80 |  H    | mlinar
18-01-05 |  -  |  290,00 |  R    | vip-mobitel
18-01-05 |  -  |   10,00 |  R    | b-net
18-01-05 |  -  |  700,00 |  O    | 25ka
18-01-05 |  -  |  200,00 |  O    | Leon-posudba
18-01-05 |  -  | 1205,80 |  TOT  | total-dana
18-01-06 |  -  |   $4.52 |  OS   | Loupe Eyeglass Lens Folding Magnifying Glasses Clip On Precise Magnifier Flip
18-01-06 |  -  |   25,00 |  O    | Lucky Strike
18-01-06 |  -  |   30,00 |  O    | Kava 
18-01-06 |  -  |   78,00 |  O    | kino (2 ulaznice) 
18-01-06 |  -  |  133,00 |  TOT  | total-dana 
18-01-07 |  -  |    5,80 |  H    | mlinar
18-01-07 |  -  |    5,80 |  TOT  | total-dana
18-01-08 |  -  |   20,89 |  H    | konzum
18-01-08 |  -  |  103,35 |  O    | pet shop
18-01-08 |  -  |  124,24 |  TOT  | total-dana
18-01-09 |  -  |   72,00 |  O    | kiosk
18-01-09 |  -  |   15,94 |  H    | konzum
18-01-09 |  -  |   87,94 |  TOT  | total-dana
18-01-10 |  -  |   20,89 |  H    | konzum
18-01-10 |  -  |   90,65 |  O    | ljekarna
18-01-10 |  -  |  111,54 |  TOT  | total-dana
18-01-11 |  -  |   29,39 |  H    | konzum
18-01-11 |  +  |  360,00 |  P    | prijevoz
18-01-11 |  -  |   34,40 |  O    | dm 
18-01-11 |  -  |   38,99 |  O    | ljekarna
18-01-11 |  -  |  109,93 |  H    | spar
18-01-11 |  +  |  147,29 |  TOT  | total-dana
18-01-12 |  -  |    0,00 |  TOT  | total-dana
18-01-13 |  -  |    0,00 |  TOT  | total-dana
18-01-14 |  -  |  122,35 |  H    | spar 
18-01-14 |  -  |  122,35 |  TOT  | total-dana 
18-01-15 |  -  |    0,00 |  TOT  | total-dana
18-01-16 |  -  |  489,24 |  H    | kaufland
18-01-16 |  -  |    5,00 |  H    | pekara
18-01-16 |  -  |  494,24 |  TOT  | total-dana
18-01-17 |  -  |   12,39 |  H    | konzum
18-01-17 |  -  |  118,30 |  O    | pet shop
18-01-17 |  -  |  130,69 |  TOT  | total-dana
